raw_message_id,parse_status,reply_to_message_id,raw_text,warning_text,warnings_summary,primary_intent,intents,action_types,actions_structured_summary,signal_id,target_refs_count,links_count,hashtags_count,validation_warning_count,diagnostics_summary,notes_summary
2378,PARSED,,"[trader#3] 
➖➖➖➖➖➖➖

LINK is trading above a strong trendline support. As long as it holds above this level, an upward move is expected👀

➖➖➖➖➖➖➖",,,,,,,,0,0,0,0,,
2364,PARSED,,[trader#3] $BTC 🔥,,,,,,,,0,0,0,0,,
2352,PARSED,,"[trader#3] 📍SIGNAL ID: #2005📍
COIN: $XVG/USDT (3-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
Extremely rare setup, expecting an easy 2-3x from $XVG
Buying / Longing here (Binance / Binance Futures)

ENTRY: Below 0.0082

TARGETS: 0.0084 - 0.0087 - 0.0093 - 0.0102 - 0.0129 - 0.0149 - 0.0184 - 0.023 - OPEN

STOP LOSS: 0.00655
➖➖➖➖➖➖➖",,,,,,,2005,1,0,0,0,,
2351,PARSED,,[trader#3] Adding more $XVG here,,,,,,,,0,0,0,0,,
2018,PARSED,,"[trader#3] IMPORTANT

Market conditions currently not ideal, we will update once they look better for our next Mega Signal
➖➖➖➖➖➖➖",,,,,,,,0,0,0,0,,
1999,PARSED,,"[trader#3] 🚨MEGA SIGNAL: $CHESS🚨

Exchange: Binance (Futures and Spot)

Entry: Below $0.052

Targets: 0.054 - 0.057 - 0.060 - 0.065 - 0.073 - 0.087 - 0.132 - 0.176 - 0.242 - OPEN

Longing $CHESS now. Breakout confirmed and extremely undervalued. Easiest Mega Signal we’ve ever had
➖➖➖➖➖➖➖",,,,,,,,0,0,0,0,,
1998,PARSED,,[trader#3] #CHESS is at its perfect bottom,,,,,,,,0,0,0,0,,
1996,PARSED,,"[trader#3] #CHESS (Binance Futures and Spot)

✅Sub $10 million market cap coin
✅Fully bottomed 
✅Loking exactly like MYX at $1, before making a 1800% move to $18

CHESS is an easy 10x move, grabbing a big bag here below $0.05",,,,,,,,0,0,0,0,,
1993,PARSED,,"[trader#3] 🚨MEGA SIGNAL: $CHESS🚨

Still in entry and ready to blow up

Buying more here
➖➖➖➖➖➖➖",,,,,,,,0,0,0,0,,
1962,PARSED,,"Часть 2. 
Разбор трейдеров #1, #2, #3 и #4

Здесь у нас - четыре трейдера, чьи сигналы проверены, просмотрены, разобраны и… всё же местами очень сложно восстановить реальные результаты.🤯

⚠️ Дисклеймер
Дальнейшая статистика по трейдерам #1–#4 собрана по сигналам из закрытых Telegram-чатов.
У нас нет доступа к их реальным сделкам на бирже, только к тому, что публикуется: вход, стоп, апдейты, тейки.
Поэтому оценка - консервативная, на основании доступных данных.
Этого достаточно, чтобы понять стиль и качество работы каждого трейдера.

Общая проблема группы:
Сигналы менее структурированы, чем у A/B.
Входы - есть (иногда, правда, формате ""Buy here"" или ""This is it!""🤦‍♂️).
Стопы - тоже имеются, но о них говорят вскользь.
Тейки - иногда их слишком много, иногда они завышены.

И очень много апдейтов с аналитикой, которую теперь будем регулярно вычищать из канала, ибо за хорошей аналитикой - вы знаете куда можно заглянуть!😉

Исходя из всего вышеперечисленного, обзор этой четвёрки будет основан скорее на общих наблюдениях:

🟡Trader #1 

Плюсы:
логичные уровни,
часть сделок реально отрабатывает.
Минусы:
Встречаются как крупные тейки, вроде +61% на BATUSDT, так и стопы, типа –45% на AAVE.
Тут вы сами делаете выбор: кататься на этих качелях или постоять посмотреть со стороны.

Вердикт:
остается в наблюдении на ещё один месяц.
Потенциал есть, прозрачности - мало.

🟡Trader #2 

Плюсы:
входы и уровни чаще внятные,
тейки обозначены, стопы чаще указаны.

Минусы:
Много апдейтов c шумом из аналитики,
Сами стопы фиксирует на бумаге не всегда.

Вердикт:
Даём ещё месяц. Убираем ненужную аналитику. Только сетапы.

🟠Trader #3 

Плюсы:
Рабочие идеи и сетапы.

Минусы:
Всё те же. Широкий разброс по тейкам и стопам, который, хоть и положительный на дистанции, но требует хорошего навыка управления депозитом.

Вердикт:
Тоже отправляем в комнату особого надзора. Но оставляем.

🔴Trader #4 
Чистый red flag, как если бы Лариса Долина запустила свои сигналы под влиянием ""мошенников"".😂

Из особенностей:
обилие низколиквидных монет,
тейки x10/x20/x50,
если сделка улетела - хайп-парад,
если ушла в минус - тишина,
много мусорных сетапов (на ""инсайде""),
отсутствие системности...

Вердикт: 
исключаем.
Это про лотерею и кликбейт.
Фу таким быть!

Что будет дальше:
#1, #2 и #3 продолжают работать в канале, но под усиленным контролем.
#4 - будет удалён в ближайшее время.
A и B - пока выглядят, как хорошее пособие для новичков по тому, как должен выглядеть трейдинг с точки зрения стратегии.

Продолжаем работу и следим, как изменится статистика в декабре 😉",,,,,,,,0,0,0,0,,
1942,PARSED,764,,,,,,,,764,1,0,0,0,,
1917,PARSED,,"[trader#3] 📍SIGNAL ID: #2024📍
COIN: $BDXN/USDT (3-5x)
Direction: LONG📈
➖➖➖➖➖➖➖
Completed bottomed out and getting ready for a massive bullish rally 🚀

Entry: Below 0.027

Targets: 0.029 - 0.033 - 0.039 - 0.043 - 0.050 - 0.069 - 0.084 - 0.15 - 0.30 - 0.45 - 0.75

SL: 0.019

You can also buy on spot in exchanges like bybit, bitget, mexc and gate.
➖➖➖➖➖➖➖
This message cannot be forwarded or replicated",,,,,,,2024,1,0,0,0,,
1584,PARSED,,"Всем привет, это #админ ! 👋

Декабрь пролетел, год заканчивается - время подводить черту, собирать камни и смотреть правде в...калькулятор. 😉
Сразу предупреждаю: пассажей об итогах года в духе «мы смогли», «мы выросли», «мы осознали» здесь не будет.
Мы трейдеры, скучные люди - видим мир в числах и циферках. 
Так что надевайте очки, представляйте себя Нео и давайте надаем по щщам агенту Смиту разберёмся, что там наторговали трейдеры #1, #2, #3 и A, B, C. 😎
────────────────────────────
Часть 1. Зарубежные сигнальные каналы (TRADER#1 / #2 / #3)
🔥Важно🔥 (дисклеймер для всех)
Сигналы TRADER#1-#3 берутся со сторонних ресурсов и почти не сопровождаются авторами. 
Обычно там нет:
- объёма на сделку
- распределения по тейкам
- своевременных уведомлений о переводе в БУ
- иногда и адекватного риск-менеджмента (зато есть широкие плечи и красивые “+200%”🤪)

Поэтому результаты ниже посчитаны по нашей модели:
- риск фиксированный: 1% депозита на сделку
- фиксация по тейкам равными долями
- результат считаем в % к депозиту, а не “по плечу”

В другом режиме (агрессивный объём/плечо) цифры могут выглядеть красивее, но и риск потерь становится несопоставимо выше.

Итог по “цифровым” трейдерам на момент 30.12 00:00:
TRADER#1: +1.385% (10 сделок)
TRADER#2: +1.595% (22 сделки)
TRADER#3: +2.41% (20 сделок)
Суммарно TRADER#1-#3: +5.39% по модели 1% риск + равные тейки

Если у вас вышло больше - супер! Мы реально рады. 👍
Но важно понимать: эти сигналы дают идею и уровни, а вот самого главного не дают:
сколько денег выделить на сделку и как распределить фиксацию по тейкам.
Для новичков это всё равно что получить маршрут без указания скорости и тормозов.
Используйте с умом!

Ну и коротко по каждому:
TRADER#1
10 сделок: стабильный умеренный плюс, часть сделок с частичной фиксацией и переводом в БУ (а они не всегда это пишут😏).

TRADER#2
22 сделки: высокая активность, много сделок в работе, были серии стопов(мы в команде называем их ""хлопки"" или ""отрицательный профит""😂), но отдельные сильные выстрелы (например AXL +3.15%) компенсируют.

TRADER#3
20 сделок: самый высокий итоговый результат среди “цифровых”. 
При этом есть показательные минуса с завышенным RR и короткими стопами - типичная проблема сторонних сигналов без сопровождения.

Вывод простой: 
сетапы у TRADER#1-#3 часто годные, иногда даже очень.
Но когда сигнал заканчивается на слове “Entry” - дальше начинается народное творчество: 
кто-то фиксирует, кто-то не фиксирует, кто-то вообще забывает, что в позиции.🤦‍♂️
В 2026 будем решать, что делать с этими тремя, потому что по уровню внимания и сопровождения они заметно проигрывают нашим трейдерам.
А сопровождение - это не “сервис”, это часть прибыли. 😌
Переходим к позитивной части и это...",,,,,,,,0,0,0,0,,
1579,PARSED,,[trader#3] $ICP 🔥,,,,,,,,0,0,0,0,,
1568,PARSED,1329,"Что то как стоп так он молчит, а тут смайликов аж на книгу хватит

Одного меня бесят эти зарубежные сигнальщики?",,,,,,,1329,1,0,0,0,,
1531,PARSED,,"[trader#3] 📍SIGNAL ID: #2044📍
COIN: $XLM/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
Orders set at the 0.228 - 0.23 key level, expecting a short term retest before heading up to our targets. 

Invalidation below 0.22
➖➖➖➖➖➖➖",,,,,,,2044,1,0,0,0,,
1522,PARSED,,"Друзья, #админ на связи 👋

Итоги голосования подведены.
Победил [trader#3] - ему пока с нами по пути. 👌
А остальных двух мы…высадили на трассе где-то между Ликвидашево и Многоплечинском (не дай вам Бог, посетить эти мрачные местечки)👹
 
Да! Мне тут уже начали писать в личку вопросы в духе:
«А почему вы так не любите западных трейдеров?»
Чтобы окончательно закрыть тему:
нам вообще всё-равно, где находится трейдер - в США, Европе или на Кирибати! 🤷‍♂️
Мы смотрим только на две вещи:
1) эффективность сигналов
2) удобство работы для подписчиков

Поэтому если трейдер работает из Европы и любит другого трейдера - это его личное дело. 😂
Мы оцениваем PnL и сопровождение. Всё остальное - просто наши шутки.
Если кого-то задело - сорри, не со зла, без негатива 😄

Ещё напоминание: вся работа команды и все сигналы - полностью бесплатны для вас.
И мы не только собираемся продолжать в том же духе, но и будем улучшать канал, вводить платные подписки, донаты. 😆
Сейчас, например, тестируем новую систему автоматического сбора статистики - чтоб ну совсем прозрачно. 🫥
Плюс, отдельно будем выпускать посты с обновлениями правил работы с сигналами каждого трейдера:
Куда, Как и в Какие фазы луны лучше торговать TON, напимер…
(поверьте, там у CEO фляга посвистывает - он и не такое внутрь проекта закладывал…😂)

Теперь ещё пару слов про зарубежных трейдеров!
Набор новых зарубежных источников мы пока ставим на стоп.
Потому что большинство каналов имеют те же болячки, что и trader#1 и #2:
А некоторые и вовсе… как trader#4 (мир его праху).
Но если найдём «бриллиант» - не переживайте, сразу сообщим и добавим.👌
А пока работаем с нашей командой.
И, кстати…",,,,,,,,0,0,0,0,,
1445,PARSED,,"Друзья, #админ на связи 👋

У нас небольшое, но важное обновление по каналу.
Мы наконец собрали единое руководство по сигналам - как читать, как входить, как фиксировать...чтобы ваш трейдинг не превращался в игру в Сапёра на Windows (лично я долгое время полагал, что эта игра про удачу, а цифры там только для красоты 💣😂)

📌 С этого момента в закрепе будет лежать:
- правила работы с сигнальным чатом
- регламенты по каждому трейдеру (A / B / C / D + trader#3)
- как считаем статистику
- и базовые ответы на вопросы в духе “кто виноват?”,  “что делать?”, ""если я улыбаюсь в зеркало - это взаимно?"" и.т.д.

Сделано это по одной простой причине:
сигнал - штука полезная, но если читать его в режиме ""ФРИСТАЙЛО"", то не стоит удивляться, что в итоге получилось ""РАКАМАКАФО"" 😂

⚙️ Руководство будет обновляться по мере необходимости:
— ежемесячная статистика
— уточнения по стратегиям и фиксациям
Короче: закреп — это теперь ваша база и необходимый минимум. 
Поэтому чтобы не писать потом админу: “я тут что-то нажал(а) и всё исчезло!” - загляните туда, там много полезного 👀
#админ",,,,,,,,0,0,0,0,,
1397,PARSED,,"[trader#3] 🔥GEM SIGNAL: $ZIG🔥
➖➖➖➖➖➖➖
Exchanges: ByBit, Bitget, MEXC, Gate

$ZIG has proven to be extremely resilient while the rest of the market dumped, and it has also been in heavy whale accumulation for he last months. 

This is an an easy play, buying a heavy bag here🚀

ENTRY: Below 0.06

TARGETS: 0.062 – 0.064 – 0.067 - 0.070 - 0.075 - 0.081 - 0.090 - 0.117 - 0.144 - 0.182 - OPEN

SL: 0.0528
➖➖➖➖➖➖➖",,,,,,,,0,0,0,0,,
1273,PARSED,,[trader#3] WLDUSDT,,,,,,,,0,0,0,0,,
1138,PARSED,,"----------------------------------

Наша команда закончилась. Теперь иностранный легионер!
Пока один, но сейчас присматриваемся к ещё одному бразильцу...⚽️😂

trader#3

Формат расчёта: наша консервативная модель (1% риск, равные тейки)

Статистика:
Всего закрытых сделок: 20
Плюсовые (полная отработка тейков): 4
Частичный тейк + БУ: 6
Стопы: 10
Открытые: 2 (не учитываются в январской статистике)

Результат:
Итог по январю: +0.41%

Коротко по сути:
Идей много, как у знатного темщика
Сопровождения мало, как у китайского сенсея, который говорит, что понять сигнал невозможно - нужно почувствовать! 😂
При консервативном подсчёте результат выглядит скромно
Но сами сетапы, по-прежнему, часто основаны на вменяемом ТА

С учётом сложного месяца...Не чудо, но и не мусор. Использовать с головой. И с чувством. 😉

----------------------------------

Общий вывод

Январь был месяцем дисциплины, защиты депозита и проверки систем на прочность.🛡
Где-то получилось,
Где-то нет,
Но, в целом, такие месяцы тоже нужны, чтобы понять: трейдинг - это не спринт, а марафонский забег.
Продолжаем...раз, два, три, четыре...(голосом Шуфутинского🧔🏻‍♂️)

#админ",,,,,,,,0,0,0,0,,
160,PARSED,,"[trader#3] 📍SIGNAL ID: #2089📍
COIN: $ATOM/USDT (2-5x)  
Direction: LONG
➖➖➖➖➖➖➖
This signal is still running and under close watch. 

Targets have not been reached yet, but the overall idea remains intact at this stage. Next target is at 1.875.
➖➖➖➖➖➖➖",,,,,,,2089,1,0,0,0,,
157,PARSED,,"[trader#3] 📍SIGNAL ID: #2092📍
COIN: $ADA/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
No targets have been hit so far, but the signal is still in play. 

As long as the structure holds, this setup remains valid.

First target is at 0.2875.
➖➖➖➖➖➖➖",,,,,,,2092,1,0,0,0,,
155,PARSED,,"[trader#3] 📍SIGNAL ID: #2087📍
COIN: $SUI/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
This signal is still running and under close watch. 

Targets have not been reached yet, but the overall idea remains intact at this stage. 

First target is at 0.9700.
➖➖➖➖➖➖➖",,,,,,,2087,1,0,0,0,,
144,PARSED,,"[trader#3] 📍SIGNAL ID: #2093📍
COIN: $XTZ/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
No targets have been hit so far, but the signal is still in play. 

As long as the structure holds, this setup remains valid.

The first target is located at 0.3900.
➖➖➖➖➖➖➖",,,,,,,2093,1,0,0,0,,
115,PARSED,,"[trader#3] 📍SIGNAL ID: #2089📍
COIN: $ATOM/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
No targets have been hit so far, but the signal is still in play. 

As long as the structure holds, this setup remains valid.

The first target is located at 1.875.
➖➖➖➖➖➖➖",,,,,,,2089,1,0,0,0,,
98,PARSED,,"[trader#3] 📍SIGNAL ID: #2096📍
COIN: $AVAX/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
No targets have been hit so far, but the signal is still in play. 

As long as the structure holds, this setup remains valid.

Next target is at 9.75.
➖➖➖➖➖➖➖",,,,,,,2096,1,0,0,0,,
72,PARSED,,"[trader#3] 📍SIGNAL ID: #2098📍
COIN: $DOT/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
The signal remains active and structurally valid. 

Price has not reached targets so far, though current conditions continue to support the setup.

First target is lopcated at 1.400.
➖➖➖➖➖➖➖",,,,,,,2098,1,0,0,0,,
63,PARSED,,"[trader#3] 📍SIGNAL ID: #2099📍
COIN: $ENA/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
The trade is still active and moving within the expected zone. 

Nothing has changed in the overall idea for now, so the setup remains valid.

First target is at 0.1010.
➖➖➖➖➖➖➖",,,,,,,2099,1,0,0,0,,
59,PARSED,,"[trader#3] 📍SIGNAL ID: #2088📍
COIN: $ICP/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
No targets yet, but the setup remains alive. 

Market structure continues to support the signal at this stage.

Next target is at 2.700.
➖➖➖➖➖➖➖",,,,,,,2088,1,0,0,0,,
44,PARSED,,"[trader#3] 📍SIGNAL ID: #2100📍
COIN: $APT/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
No targets yet, but the setup remains alive. 

Market structure continues to support the signal at this stage.

First target is at 1.000.
➖➖➖➖➖➖➖",,,,,,,2100,1,0,0,0,,
41,PARSED,,"[trader#3] 📍SIGNAL ID: #2098📍
COIN: $DOT/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
The signal is still in play. 

No targets have been reached yet, but the setup remains valid at this stage.

First target is located at 1.400.
➖➖➖➖➖➖➖",,,,,,,2098,1,0,0,0,,
34,PARSED,,"[trader#3] 📍SIGNAL ID: #2101📍
COIN: $XLM/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
The trade is still active and moving within the expected zone. 

Nothing has changed in the overall idea for now, so the setup remains valid.

First target is at 0.1700.
➖➖➖➖➖➖➖",,,,,,,2101,1,0,0,0,,
30,PARSED,,"Секция иностранных торговых связей 😉
или
trader #3
Модель расчёта: консервативная (1% риск, равные тейки)

Статистика:
20 сделок
5 стопов
Остальное - частичные фиксации, БУ и сделки, которые ещё остаются в работе.
Итог: +2.7%

Комментарий:
Месяц получился составным: часть прибыли доехала из февральских сигналов, часть мартовских сделок ещё продолжает отрабатываться.🤷‍♂️

---
Общий итог:
Типичный март.
Вроде уже весна, и ты ждёшь, что сейчас всё дружно зацветёт зелёным.🕯🔼
А он, собака, всё морозит. 😏
Ну а в апрель мы заходим уже с новым адресом и нормальным человеческим оптимизмом. 👌",,,,,,,,0,0,0,0,,
21,PARSED,,"[trader#3] 📍SIGNAL ID: #2102📍
COIN: $XRP/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
This setup remains active and valid for now. 

Price continues to respect the main structure and we keep monitoring closely.

Target is located at 1.3750.
➖➖➖➖➖➖➖",,,,,,,2102,1,0,0,0,,
18,PARSED,,"[trader#3] 📍SIGNAL ID: #2100📍
COIN: $APT/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
The trade is still active and moving within the expected zone. 

Nothing has changed in the overall idea for now, so the setup remains valid.
➖➖➖➖➖➖➖",,,,,,,2100,1,0,0,0,,
