raw_message_id,parse_status,reply_to_message_id,raw_text,warning_text,warnings_summary,primary_intent,intents,action_types,actions_structured_summary,symbol,direction,market_type,completeness,confidence,parser_used,parser_mode,status,entry_plan_type,entry_structure,has_averaging_plan,entry_count,entries_summary,stop_loss_price,tp_prices,tp_count,signal_id,target_refs,target_refs_count,linking_strategy,notes_summary,links_count,hashtags_count,validation_warning_count,diagnostics_summary
368,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка 67190

Stop 66600.  0,3%деп

Tейк-профит 

1)  68000(RR1-1)

2)  69000 (RR1-3)

3)  70000

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=68000 | 69000 | 70000),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,66600,68000 | 69000 | 70000,3,368,,0,,,0,0,0,
365,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка 66950

Stop 66450.  0,3%деп

Tейк-профит 

1)  68000(RR1-1)

2)  69000 (RR1-3)

3)  70000

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=68000 | 69000 | 70000),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,66450,68000 | 69000 | 70000,3,365,,0,,,0,0,0,
357,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

67100
66100
Stop 65000.  0,6%деп

Tейк-профит 

1)  68800(RR1-1)

2)  69950 (RR1-2)

3)  72000

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=68800 | 69950 | 72000),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,65000,68800 | 69950 | 72000,3,357,,0,,,0,0,0,
322,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

69500
68300
Stop 67000.  0,6%деп

Tейк-профит 

1)  71000(RR1-1)

2)  72500 (RR1-2)

3)  74000

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=71000 | 72500 | 74000),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,67000,71000 | 72500 | 74000,3,322,,0,,,0,0,0,
318,PARSED,,"[trader #С]

$BTCUSDT - SHORT 

Вход лимитка 

71150

72600


Stop  74000  0,6% деп

Tейк-профит 

1) 68800(RR1-1)

 2) 67200(RR1-2)

 3) 65000

4)",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=68800 | 67200 | 65000),BTCUSDT,SHORT,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,74000,68800 | 67200 | 65000,3,318,,0,,,0,0,0,
317,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

69500-по текущих взял 69300
68300
Stop 67000.  0,6%деп

Tейк-профит 

1)  71000(RR1-1)

2)  72500 (RR1-2)

3)  74000

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=71000 | 72500 | 74000),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,67000,71000 | 72500 | 74000,3,317,,0,,,0,0,0,
305,PARSED,,"[trader #С]

$DOTUSDT - LONG 

Вход лимиткой 

1)1,522  0,3деп
2)

Stop 1,465 0,3% деп

Tейк-профит 

1) 1,63

2) 1,8

3)",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=1.63 | 1.8),DOTUSDT,LONG,,,0.88,,,,SINGLE,ONE_SHOT,False,1,ENTRY:UNKNOWN:1.522,1.465,1.63 | 1.8,2,305,,0,,,0,0,0,
293,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

70200-по текущим взял
68700
Stop 67500.  0,6%деп

Tейк-профит 

1)  71500(RR1-1)

2)  72500 (RR1-2)

3)  74000

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=71500 | 72500 | 74000),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,67500,71500 | 72500 | 74000,3,293,,0,,,0,0,0,
281,PARSED,,"[trader #С]

$BTCUSDT - SHORT 

Вход лимитка 

73800

74850

75750 0,6%

Stop  76500  1,2% деп

Tейк-профит 

1) 71800(RR1-1)

 2) 69900(RR1-2)

 3) 67500

4) 65000",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=71800 | 69900 | 67500 | 65000),BTCUSDT,SHORT,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,76500,71800 | 69900 | 67500 | 65000,4,281,,0,,,0,0,0,
269,PARSED,3162,"[trader #С]

$BTСUSDT - LONG 

Вход 72100 долил остаток позы к текущему сэтапу.

Stop 71250 в бу .  0,2%деп

Tейк-профит 

1)  74500 на этот объем 

2)  

3)  

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=74500 | 3),BTCUSDT,LONG,,,0.88,,,,SINGLE,ONE_SHOT,False,0,,71250,74500 | 3,2,269,3162,1,,,0,0,0,
260,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

71750

Stop 70000.  0,3%деп

Tейк-профит 

1)  73800(RR1-1)

2)  74500(RR1-2)

3)  

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=73800 | 74500 | 4),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,70000,73800 | 74500 | 4,3,260,,0,,,0,0,0,
240,PARSED,,"[trader #С]

$BTCUSDT - SHORT 

Вход лимитка 

73800

74850

75750 0,6%

Stop  76500  1,2% деп

Tейк-профит 

1) 71800(RR1-1)

 2) 69900(RR1-2)

 3) 67500

4) 65000",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=71800 | 69900 | 67500 | 65000),BTCUSDT,SHORT,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,76500,71800 | 69900 | 67500 | 65000,4,240,,0,,,0,0,0,
227,PARSED,,"[trader #С]

$BTCUSDT - SHORT 

Вход лимитка 

73800

74850

75750 0,6%

Stop  76500  1,2% деп

Tейк-профит 

1) 71800(RR1-1)

 2) 69900(RR1-2)

 3) 67500

4) 65000

Еще раз попробуем",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=71800 | 69900 | 67500 | 65000),BTCUSDT,SHORT,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,76500,71800 | 69900 | 67500 | 65000,4,227,,0,,,0,0,0,
210,PARSED,,"[trader #С]

$BTCUSDT - SHORT обновления 

Вход лимитка 

73800 сущес
 
75050 0,3


Stop  76500  0,6% деп

Tейк-профит 

1) 71800(RR1-1)

 2) 69900(RR1-2)

 3) 67500

4) 65000",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=71800 | 69900 | 67500 | 65000),BTCUSDT,SHORT,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,76500,71800 | 69900 | 67500 | 65000,4,210,,0,,,0,0,0,
209,PARSED,,"[trader #С]

$ETHUSDT - SHORT 

Вход лимитка 2360

Stop 2410. 0,3%деп

Tейк-профит 

1)   2310(RR1-1)

2)   2260(RR1-2)

3)  2210",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=2310 | 2260 | 2210),ETHUSDT,SHORT,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,2410,2310 | 2260 | 2210,3,209,,0,,,0,0,0,
192,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

73200

Stop 71000.  0,3%деп

Tейк-профит 

1)  75000(RR1-1)

2)  76000(RR1-2)

3)  77000

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=75000 | 76000 | 77000),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,71000,75000 | 76000 | 77000,3,192,,0,,,0,0,0,
183,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

71300-50

Stop 69000.  0,3%деп

Tейк-профит 

1)  73100(RR1-1)

2)  74500(RR1-2)

3)  

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=73100 | 74500 | 4),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:71300 | RANGE_HIGH:LIMIT:71350,69000,73100 | 74500 | 4,3,183,,0,,,0,0,0,
161,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

70550

Stop 69550.  0,3%деп

Tейк-профит 

1)  71700(RR1-1)

2)  72700(RR1-2)

3)  73700

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=71700 | 72700 | 73700),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,69550,71700 | 72700 | 73700,3,161,,0,,,0,0,0,
154,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

68300

67000

Stop 66000.  0,6%деп

Tейк-профит 

1)  69600(RR1-1)

2)  71000(RR1-2)

3)  72500

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=69600 | 71000 | 72500),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,66000,69600 | 71000 | 72500,3,154,,0,,,0,0,0,
149,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

67300

66000

Stop 65000.  0,6%деп

Tейк-профит 

1)  69600(RR1-1)

2)  71000(RR1-2)

3)  72500

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=69600 | 71000 | 72500),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,65000,69600 | 71000 | 72500,3,149,,0,,,0,0,0,
130,PARSED,,"[trader #С]

$BTСUSDT - SHORT 

Вход 71550 долил остаток позы к текущему сэтапу.

Stop 71850 в бу .  0,1%деп

Tейк-профит 

1)  70000 на этот объем 

2)  

3)  

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=70000 | 3),BTCUSDT,SHORT,,,0.88,,,,SINGLE,ONE_SHOT,False,0,,71850,70000 | 3,2,130,,0,,,0,0,0,
119,PARSED,,"[trader #С]

$KASUSDT - LONG 

Вход лимиткой 

1)0,0359  
2)

Stop 0,0341 0,3% деп

Tейк-профит 

1) 0,0415

2) 0,045

3)",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=0.0415 | 0.045),KASUSDT,LONG,,,0.88,,,,SINGLE,ONE_SHOT,False,1,ENTRY:UNKNOWN:0.0359,0.0341,0.0415 | 0.045,2,119,,0,,,0,0,0,
113,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

70050

69050

Stop 68000.  0,6%деп

Tейк-профит 

1)  72000(RR1-1)

2)  73000(RR1-2)

3)  74500

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=72000 | 73000 | 74500),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,68000,72000 | 73000 | 74500,3,113,,0,,,0,0,0,
103,PARSED,3401,"[trader #С]

$BTСUSDT - LONG изменения!!! 
Доп ТП 69666 на 0,3 объема 

Вход лимитка

70050

69050

Stop 68000.  0,6%деп

Tейк-профит 

1)  72000(RR1-1)

2)  73000(RR1-2)

3)  74500

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=9666),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,68000,9666,1,103,3401,1,,,0,0,0,
102,PARSED,,"[trader #С]

$ETHUSDT - LONG

Вход лимитка 2114

Stop 2100  0,3%деп

Tейк-профит 

1) 2128(RR1-1)

2) 2141(RR1-2)

3) 2160",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=2128 | 2141 | 2160),ETHUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,2100,2128 | 2141 | 2160,3,102,,0,,,0,0,0,
81,PARSED,,"[trader #С]

$ETHUSDT - LONG

Вход лимитка 2135

Stop 2100  0,3%деп

Tейк-профит 

1) 2170(RR1-1)

2) 2210(RR1-2)

3) 2250",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=2170 | 2210 | 2250),ETHUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,2100,2170 | 2210 | 2250,3,81,,0,,,0,0,0,
78,PARSED,,"[trader #С]

$BTСUSDT - LONG доливка к сущ. сэтапу

Вход лимитка 70850

Твх сместится 70200

Stop 70250.  0,4%деп в бу

Tейк-профит 

1)  72000

2)  75000

На этот объем",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=72000 | 75000),BTCUSDT,LONG,,,0.88,,,,SINGLE,ONE_SHOT,False,1,ENTRY:UNKNOWN:70850,70250,72000 | 75000,2,78,,0,,,0,0,0,
73,PARSED,,"[trader #С]

$ETHUSDT - LONG повторим

Вход лимитка 2135

Stop 2100  0,3%деп

Tейк-профит 

1) 2170(RR1-1)

2) 2210(RR1-2)

3) 2250",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=2170 | 2210 | 2250),ETHUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,2100,2170 | 2210 | 2250,3,73,,0,,,0,0,0,
69,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

69900

68800

Stop 67000.  0,6%деп

Tейк-профит 

1)  72000(RR1-1)

2)  73000(RR1-2)

3)  74500

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=72000 | 73000 | 74500),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,67000,72000 | 73000 | 74500,3,69,,0,,,0,0,0,
50,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

66100



Stop 65500.  0,3%деп

Tейк-профит 

1)  66700(RR1-1)

2)  67400(RR1-2)

3)  68100

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=66700 | 67400 | 68100),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,65500,66700 | 67400 | 68100,3,50,,0,,,0,0,0,
46,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

66100-200



Stop 65500.  0,3%деп

Tейк-профит 

1)  66800(RR1-1)

2)  67600(RR1-2)

3)  68350

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=66800 | 67600 | 68350),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:66100 | RANGE_HIGH:LIMIT:66200,65500,66800 | 67600 | 68350,3,46,,0,,,0,0,0,
35,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

66350


Stop 65000.  0,5%деп

Tейк-профит 

1)  67700(RR1-1)

2)  69000(RR1-2)

3)  70500

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=67700 | 69000 | 70500),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,65000,67700 | 69000 | 70500,3,35,,0,,,0,0,0,
28,PARSED,,"[trader #С]

$BTСUSDT - SHORT 

Вход лимитка

68200

69200


Stop 70500.  0,6%деп

Tейк-профит 

1)  66500(RR1-1)

2)  65500(RR1-2)

3)  64000

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=66500 | 65500 | 64000),BTCUSDT,SHORT,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,70500,66500 | 65500 | 64000,3,28,,0,,,0,0,0,
24,PARSED,3479,"[trader #С]

$BTСUSDT - LONG  Изменения! 

Вход лимитка

66350

65770

Stop 65000.  0,6%деп

Tейк-профит 

1)  67700(RR1-1)

2)  69000(RR1-2)

3)  70500

4) ",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=67700 | 69000 | 70500),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,65000,67700 | 69000 | 70500,3,24,3479,1,,,0,0,0,
13,PARSED,,"[trader #С]

$BTСUSDT - LONG 

Вход лимитка

66350

65770

Stop 65000.  0,6%деп

Tейк-профит 

1)  67700(RR1-1)

2)  69000(RR1-2)

3)  70500

4) перезашел",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=67700 | 69000 | 70500),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,65000,67700 | 69000 | 70500,3,13,,0,,,0,0,0,
3,PARSED,,"[trader #С]

$BTСUSDT - SHORT 

Вход лимитка

69350

70650


Stop 72000.  0,6%деп

Tейк-профит 

1)  67300(RR1-1)

2)  66000(RR1-2)

3)  64500

4) 62500",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=67300 | 66000 | 64500 | 62500),BTCUSDT,SHORT,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:1,72000,67300 | 66000 | 64500 | 62500,4,3,,0,,,0,0,0,
